country,continent,lifeExp,pop,gdpPercap
Iceland,Europe,81.757,301931,36180.78919
Djibouti,Africa,54.791,496374,2082.481567
Montenegro,Europe,74.543,684736,9253.896111
Bahrain,Asia,75.635,708573,29796.04834
Comoros,Africa,65.152,710960,986.1478792
Reunion,Africa,76.442,798094,7670.122558
Swaziland,Africa,39.613,1133066,4513.480643
Croatia,Europe,75.748,4493312,14619.22272
Singapore,Asia,79.972,4553009,47143.17964
Norway,Europe,80.196,4627926,49357.19017
Eritrea,Africa,58.04,4906585,641.3695236
Finland,Europe,79.313,5238460,33207.0844
Slovak ,Europe,74.663,5447502,18678.31435
Denmark,Europe,78.332,5468120,35278.41874
Nicaragua,Americas,72.899,5675356,2749.320965
Togo,Africa,58.42,5701579,882.9699438
Libya,Africa,73.952,6036914,12057.49928
Jordan,Asia,72.535,6053193,4519.461171
Sierra Leone,Africa,42.568,6144562,862.5407561
Croatia,Europe,75.748,4493312,14619.22272
