country,lifeExp,pop,gdpPercap
Iceland,81.8,0.3,36180.78919
Djibouti,54.8,0.5,2082.481567
Montenegro,74.5,0.68,9253.896111
Bahrain,75.6,0.71,29796.04834
Comoros,65.2,0.71,986.147879
Reunion,76.4,0.8,7670.122558
Swaziland,39.6,1.13,4513.480643
Croatia,75.7,4.49,14619.22272
Singapore,80,4.55,47143.17964
Norway,80.2,4.63,49357.19017
Eritrea,58,4.91,641.369524
Finland,79.3,5.24,33207.0844
Slovak,74.7,5.45,18678.31435
Denmark,78.3,5.47,35278.41874
Nicaragua,72.9,5.68,2749.320965
Togo,58.4,5.7,882.969944
Libya,74,6.04,12057.49928
Jordan,72.5,6.05,4519.461171
Sierra Leone,42.6,6.14,862.540756
Croatia,75.7,4.49,14619.22272
